Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 2, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 3, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 4, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 5, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 6, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 7, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 8, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 9, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 10, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 11, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 12, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 13, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 14, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 15, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 16, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 17, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 18, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 19, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 20, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 21, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 22, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 23, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 24, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 25, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 26, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 27, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 28, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 29, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 30, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 31, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 32, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 33, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 34, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 35, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 36, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 37, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 38, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 39, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 40, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 41, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 42, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 43, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 44, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 45, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 46, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 47, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 48, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 49, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 50, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 51, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 52, 2018",886441670.3573828,28725733.246170327,0.0,28966549.959283248,943173.9372602552
"Week 1, 2019",134309343.99354285,4352383.825177322,0.0,4388871.205952007,142905.1420091296
