Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 2, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 3, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 4, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 5, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 6, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 7, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 8, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 9, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 10, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 11, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 12, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 13, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 14, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 15, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 16, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 17, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 18, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 19, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 20, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 21, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 22, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 23, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 24, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 25, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 26, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 27, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 28, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 29, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 30, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 31, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 32, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 33, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 34, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 35, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 36, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 37, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 38, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 39, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 40, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 41, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 42, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 43, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 44, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 45, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 46, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 47, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 48, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 49, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 50, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 51, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 52, 2018",185220.0000189,2687.542200274239,52.88796122133273,7846.634946261457,140.767200014364
"Week 1, 2019",26460.0000027,383.934600039177,7.555423031618961,1120.9478494659224,20.109600002052
