Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 2, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 3, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 4, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 5, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 6, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 7, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 8, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 9, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 10, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 11, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 12, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 13, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 14, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 15, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 16, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 17, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 18, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 19, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 20, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 21, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 22, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 23, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 24, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 25, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 26, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 27, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 28, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 29, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 30, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 31, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 32, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 33, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 34, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 35, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 36, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 37, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 38, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 39, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 40, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 41, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 42, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 43, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 44, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 45, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 46, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 47, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 48, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 49, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 50, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 51, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 52, 2018",80080895.99284993,0.0,24300.662989302116,4238833.415995598,21301.51833409808
"Week 1, 2019",11440127.99897856,0.0,3471.523284186017,605547.6308565141,3043.074047728297
