Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 2, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 3, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 4, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 5, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 6, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 7, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 8, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 9, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 10, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 11, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 12, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 13, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 14, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 15, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 16, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 17, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 18, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 19, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 20, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 21, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 22, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 23, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 24, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 25, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 26, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 27, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 28, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 29, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 30, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 31, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 32, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 33, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 34, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 35, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 36, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 37, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 38, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 39, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 40, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 41, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 42, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 43, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 44, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 45, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 46, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 47, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 48, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 49, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 50, 2018",23461464.0,6953977.9296,0.0,1505615.9907360002,214766.24145600002
"Week 51, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 52, 2018",21750084.0,6446724.8976,0.0,1395789.8906160002,199100.268936
"Week 1, 2019",3204948.0,949946.5872,0.0,205674.33295200003,29338.093992000002
