Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 2, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 3, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 4, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 5, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 6, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 7, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 8, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 9, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 10, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 11, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 12, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 13, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 14, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 15, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 16, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 17, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 18, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 19, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 20, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 21, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 22, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 23, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 24, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 25, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 26, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 27, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 28, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 29, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 30, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 31, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 32, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 33, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 34, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 35, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 36, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 37, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 38, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 39, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 40, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 41, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 42, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 43, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 44, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 45, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 46, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 47, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 48, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 49, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 50, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 51, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 52, 2018",16375419.37914696,966269.8305704755,0.0,212825.86689360972,41069.551802900576
"Week 1, 2019",2481124.1483556,146404.51978340538,0.0,32246.34346872874,6222.659364075845
