Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 2, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 3, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 4, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 5, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 6, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 7, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 8, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 9, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 10, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 11, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 12, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 13, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 14, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 15, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 16, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 17, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 18, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 19, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 20, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 21, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 22, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 23, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 24, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 25, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 26, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 27, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 28, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 29, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 30, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 31, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 32, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 33, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 34, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 35, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 36, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 37, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 38, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 39, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 40, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 41, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 42, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 43, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 44, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 45, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 46, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 47, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 48, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 49, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 50, 2018",7926.383111497068,3313.2281406057746,0.0,693.6377860871086,15.773502391879168
"Week 51, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 52, 2018",7348.198667022589,3071.5470428154417,0.0,643.0408653511467,14.622915347374953
"Week 1, 2019",1082.78177783034,452.60278313308214,0.0,94.75423337793306,2.154735737882377
