Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 2, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 3, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 4, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 5, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 6, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 7, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 8, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 9, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 10, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 11, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 12, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 13, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 14, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 15, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 16, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 17, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 18, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 19, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 20, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 21, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 22, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 23, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 24, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 25, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 26, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 27, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 28, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 29, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 30, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 31, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 32, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 33, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 34, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 35, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 36, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 37, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 38, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 39, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 40, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 41, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 42, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 43, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 44, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 45, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 46, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 47, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 48, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 49, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 50, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 51, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 52, 2018",209490996.0,6788695.375911619,0.0,6962293.595285551,206977.104048
"Week 1, 2019",31741060.0,1028590.2084714574,0.0,1054892.968982659,31360.16728
