Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 2, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 3, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 4, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 5, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 6, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 7, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 8, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 9, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 10, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 11, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 12, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 13, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 14, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 15, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 16, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 17, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 18, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 19, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 20, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 21, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 22, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 23, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 24, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 25, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 26, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 27, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 28, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 29, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 30, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 31, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 32, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 33, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 34, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 35, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 36, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 37, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 38, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 39, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 40, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 41, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 42, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 43, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 44, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 45, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 46, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 47, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 48, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 49, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 50, 2018",10638.995851399715,1013.0403765697158,0.946679991671813,2318.078889298001,26.464502180356796
"Week 51, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 52, 2018",9862.941777356316,939.1448583847026,0.8776250851172978,2148.988254136503,24.534067671173837
"Week 1, 2019",1453.337629567668,138.38615223695828,0.12932100681987196,316.6606440287289,3.6151773535495746
