Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 2, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 3, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 4, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 5, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 6, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 7, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 8, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 9, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 10, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 11, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 12, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 13, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 14, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 15, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 16, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 17, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 18, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 19, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 20, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 21, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 22, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 23, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 24, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 25, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 26, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 27, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 28, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 29, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 30, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 31, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 32, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 33, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 34, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 35, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 36, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 37, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 38, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 39, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 40, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 41, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 42, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 43, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 44, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 45, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 46, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 47, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 48, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 49, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 50, 2018",25969323.85750035,13815680.292190187,0.0,0.0,258394.7723821285
"Week 51, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 52, 2018",24075009.78299575,12807905.204553736,0.0,0.0,239546.34734080773
"Week 1, 2019",3547533.6303996556,1887287.8913726166,0.0,0.0,35297.95962247658
