Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 2, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 3, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 4, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 5, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 6, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 7, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 8, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 9, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 10, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 11, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 12, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 13, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 14, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 15, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 16, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 17, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 18, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 19, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 20, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 21, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 22, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 23, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 24, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 25, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 26, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 27, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 28, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 29, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 30, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 31, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 32, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 33, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 34, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 35, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 36, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 37, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 38, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 39, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 40, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 41, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 42, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 43, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 44, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 45, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 46, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 47, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 48, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 49, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 50, 2018",3348653.628845248,1017990.7031689555,0.0,136752.31689478227,53310.56577121636
"Week 51, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 52, 2018",3104388.4437198485,943734.0868908339,0.0,126777.01526463118,49421.86402401999
"Week 1, 2019",457442.07396714407,139062.39048601178,0.0,18681.019416670228,7282.477817556934
