Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 2, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 3, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 4, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 5, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 6, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 7, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 8, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 9, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 10, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 11, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 12, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 13, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 14, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 15, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 16, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 17, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 18, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 19, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 20, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 21, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 22, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 23, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 24, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 25, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 26, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 27, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 28, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 29, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 30, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 31, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 32, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 33, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 34, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 35, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 36, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 37, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 38, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 39, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 40, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 41, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 42, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 43, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 44, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 45, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 46, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 47, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 48, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 49, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 50, 2018",13394614.515380992,2168320.197749875,0.0,1766058.4924697597,151935.1124479666
"Week 51, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 52, 2018",12417553.774879394,2010153.605077476,0.0,1637234.5971318083,140852.31246845695
"Week 1, 2019",1829768.2958685763,296202.8917352051,0.0,241252.0221809984,20755.061780037257
