Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 2, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 3, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 4, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 5, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 6, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 7, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 8, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 9, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 10, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 11, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 12, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 13, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 14, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 15, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 16, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 17, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 18, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 19, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 20, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 21, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 22, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 23, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 24, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 25, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 26, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 27, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 28, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 29, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 30, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 31, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 32, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 33, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 34, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 35, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 36, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 37, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 38, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 39, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 40, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 41, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 42, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 43, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 44, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 45, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 46, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 47, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 48, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 49, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 50, 2018",12610454.515564673,4791972.715914575,0.0,0.0,250948.044859737
"Week 51, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 52, 2018",11690593.775049074,4442425.634518648,0.0,0.0,232642.81612347654
"Week 1, 2019",1722648.2958936163,654606.3524395741,0.0,0.0,34280.70108828296
