Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 2, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 3, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 4, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 5, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 6, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 7, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 8, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 9, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 10, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 11, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 12, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 13, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 14, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 15, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 16, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 17, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 18, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 19, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 20, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 21, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 22, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 23, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 24, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 25, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 26, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 27, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 28, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 29, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 30, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 31, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 32, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 33, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 34, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 35, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 36, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 37, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 38, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 39, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 40, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 41, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 42, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 43, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 44, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 45, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 46, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 47, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 48, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 49, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 50, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 51, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 52, 2018",15332463.792267827,249030.12730541374,49.95286038593272,646632.4832701171,13983.206978548256
"Week 1, 2019",2323100.5745860343,37731.83747051723,7.568615209989806,97974.61867729046,2118.667724022463
