Week number,Thousand Kilometers,electricity consumption MWh,gasoline consumption thousand litres,diesel consumption thousand litres,hydrogen consumption tonnes
"Week 1, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 2, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 3, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 4, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 5, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 6, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 7, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 8, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 9, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 10, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 11, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 12, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 13, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 14, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 15, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 16, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 17, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 18, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 19, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 20, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 21, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 22, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 23, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 24, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 25, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 26, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 27, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 28, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 29, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 30, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 31, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 32, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 33, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 34, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 35, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 36, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 37, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 38, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 39, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 40, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 41, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 42, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 43, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 44, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 45, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 46, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 47, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 48, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 49, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 50, 2018",2943.727703805828,894.8932219569718,0.0,120.21595196802241,46.86414504458879
"Week 51, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 52, 2018",2728.9995556504878,829.6158649177485,0.0,111.44688385365465,43.445672925955776
"Week 1, 2019",402.127259273232,122.24668681906255,0.0,16.42207301420025,6.401865967629854
